id,name,city_id,match_db_id,upper_name,action
11.01.01,Bakongan,11.01,1103,BAKONGAN,"insert into region (name, parent, type) values   ('BAKONGAN,'1103','KECAMATAN');"
11.01.02,Kluet Utara,11.01,1103,KLUET UTARA,"insert into region (name, parent, type) values   ('KLUET UTARA,'1103','KECAMATAN');"
11.01.03,Kluet Selatan,11.01,1103,KLUET SELATAN,"insert into region (name, parent, type) values   ('KLUET SELATAN,'1103','KECAMATAN');"
11.01.04,Labuhan Haji,11.01,1103,LABUHAN HAJI,"insert into region (name, parent, type) values   ('LABUHAN HAJI,'1103','KECAMATAN');"
11.01.05,Meukek,11.01,1103,MEUKEK,"insert into region (name, parent, type) values   ('MEUKEK,'1103','KECAMATAN');"
11.01.06,Samadua (Sama Dua),11.01,1103,SAMADUA (SAMA DUA),"insert into region (name, parent, type) values   ('SAMADUA (SAMA DUA),'1103','KECAMATAN');"
11.01.07,Sawang,11.01,1103,SAWANG,"insert into region (name, parent, type) values   ('SAWANG,'1103','KECAMATAN');"
11.01.08,Tapaktuan (Tapak Tuan),11.01,1103,TAPAKTUAN (TAPAK TUAN),"insert into region (name, parent, type) values   ('TAPAKTUAN (TAPAK TUAN),'1103','KECAMATAN');"
11.01.09,Trumon,11.01,1103,TRUMON,"insert into region (name, parent, type) values   ('TRUMON,'1103','KECAMATAN');"
11.01.10,Pasi Raja (Pasie Raja),11.01,1103,PASI RAJA (PASIE RAJA),"insert into region (name, parent, type) values   ('PASI RAJA (PASIE RAJA),'1103','KECAMATAN');"
11.01.11,Labuhan Haji Timur,11.01,1103,LABUHAN HAJI TIMUR,"insert into region (name, parent, type) values   ('LABUHAN HAJI TIMUR,'1103','KECAMATAN');"
11.01.12,Labuhan Haji Barat,11.01,1103,LABUHAN HAJI BARAT,"insert into region (name, parent, type) values   ('LABUHAN HAJI BARAT,'1103','KECAMATAN');"
11.01.13,Kluet Tengah,11.01,1103,KLUET TENGAH,"insert into region (name, parent, type) values   ('KLUET TENGAH,'1103','KECAMATAN');"
11.01.14,Kluet Timur,11.01,1103,KLUET TIMUR,"insert into region (name, parent, type) values   ('KLUET TIMUR,'1103','KECAMATAN');"
11.01.15,Bakongan Timur,11.01,1103,BAKONGAN TIMUR,"insert into region (name, parent, type) values   ('BAKONGAN TIMUR,'1103','KECAMATAN');"
11.01.16,Trumon Timur,11.01,1103,TRUMON TIMUR,"insert into region (name, parent, type) values   ('TRUMON TIMUR,'1103','KECAMATAN');"
11.01.17,Kota Bahagia,11.01,1103,KOTA BAHAGIA,"insert into region (name, parent, type) values   ('KOTA BAHAGIA,'1103','KECAMATAN');"
11.01.18,Trumon Tengah,11.01,1103,TRUMON TENGAH,"insert into region (name, parent, type) values   ('TRUMON TENGAH,'1103','KECAMATAN');"
11.02.01,Lawe Alas,11.02,1104,LAWE ALAS,"insert into region (name, parent, type) values   ('LAWE ALAS,'1104','KECAMATAN');"
11.02.02,Lawe Sigala Gala,11.02,1104,LAWE SIGALA GALA,"insert into region (name, parent, type) values   ('LAWE SIGALA GALA,'1104','KECAMATAN');"
11.02.03,Bambel,11.02,1104,BAMBEL,"insert into region (name, parent, type) values   ('BAMBEL,'1104','KECAMATAN');"
11.02.04,Babussalam,11.02,1104,BABUSSALAM,"insert into region (name, parent, type) values   ('BABUSSALAM,'1104','KECAMATAN');"
11.02.05,Badar,11.02,1104,BADAR,"insert into region (name, parent, type) values   ('BADAR,'1104','KECAMATAN');"
11.02.06,Babul Makmur,11.02,1104,BABUL MAKMUR,"insert into region (name, parent, type) values   ('BABUL MAKMUR,'1104','KECAMATAN');"
11.02.07,Darul Hasanah,11.02,1104,DARUL HASANAH,"insert into region (name, parent, type) values   ('DARUL HASANAH,'1104','KECAMATAN');"
